Menu,Serving size,Calories,Fat (G),Sat. Fat (G),Trans Fat (G),Cholesterol (MG),Sodium (MG),Carbohydrates (G),Fiber (G),Sugar (G),Protein (G)
Chick-fil-A® Chicken Biscuit,153g,460.0,23,8,0,45,1510,45,2,6,19
Chick-fil-A Chick-n-Minis™,127g,360.0,13,4,0,60,1050,41,2,8,19
Egg White Grill,172g,290.0,8,3.5,0,60,980,30,1,2,26
Hash Brown Scramble Burrito,302g,700.0,40,12,0.5,415,1750,51,3,2,34
Hash Brown Scramble Bowl,233g,470.0,30,9,0,415,1340,19,2,2,29
"Bacon, Egg & Cheese Biscuit",145g,420.0,23,11,0,180,1290,38,2,4,15
"Sausage, Egg & Cheese Biscuit",191g,610.0,42,18,0,205,1510,38,2,4,22
"Bacon, Egg & Cheese Muffin",129g,310.0,14,6,0,180,810,29,1,2,16
"Sausage, Egg & Cheese Muffin",175g,500.0,33,12,0,205,1030,30,1,2,23
Buttered Biscuit,82g,290.0,15,6,0,0,760,37,2,4,4
English Muffin,61g,140.0,2,0,0,0,220,29,1,1,5
Hash Browns,77g,270.0,18,2.5,0,0,440,23,3,0,3
Greek Yogurt Parfait,221g,270.0,9,3.5,0,20,80,36,1,26,13
Fruit Cup,119g,60.0,0,0,0,0,0,15,2,11,1
4 Chick-fil-A Chick-n-Minis™,127g,360.0,13,4,0,60,1050,41,2,8,19
10 ct Chick-fil-A Chick-n-Minis™,304g,870.0,35,10,0,130,2150,92,5,14,48
10 ct Heart-Shaped Tray,304g,870.0,35,10,0,130,2150,92,5,14,48
Hash Brown Scramble Burrito w/ Nuggets,302g,700.0,40,12,0.5,415,1750,51,3,2,34
Hash Brown Scramble Burrito w/ Sausage,283g,720.0,47,16,0.5,395,1450,46,3,1,28
Hash Brown Scramble Burrito w/ Grilled Filet,300g,650.0,36,12,0.5,415,1620,46,3,2,35
Hash Brown Scramble Burrito w/ Nuggets - no hash browns,259g,550.0,30,11,0.5,415,1500,38,2,2,33
Hash Brown Scramble Burrito w/ Sausage - no hash browns,175g,440.0,38,15,0,415,870,1,0,0,26
Hash Brown Scramble Burrito w/ Grilled Filet - no hash brown,257g,500.0,25,10,0.5,415,1370,34,2,2,34
Hash Brown Scramble Bowl w/ Nuggets,233g,470.0,30,9,0,415,1340,19,2,2,29
Hash Brown Scramble Bowl w/ Sausage,212g,480.0,37,12,0,395,1020,15,2,1,23
Hash Brown Scramble Bowl w/ Grilled Filet,229g,410.0,26,8,0,415,1190,15,2,2,30
Hash Brown Scramble Bowl w/ Nuggets - no hash browns,190g,320.0,20,7,0,415,1100,7,0,2,28
Hash Brown Scramble Bowl w/ Sausage - no hash browns,146g,320.0,26,11,0,395,650,1,0,0,21
Hash Brown Scramble Bowl w/ Grilled Filet - no hash browns,165g,260.0,16,7,0,415,840,1,0,1,28
Greek Yogurt Parfait w/ Cookie Crumbs,216g,240.0,8,3.5,0,20,85,33,1,26,12
Greek Yogurt Parfait w/ Granola,221g,270.0,9,3.5,0,20,80,36,1,26,13
Small Fruit Cup,102g,50.0,0,0,0,0,0,13,2,9,1
Medium Fruit Cup,119g,60.0,0,0,0,0,0,15,2,11,1
Chick-fil-A® Chicken Sandwich,183g,440.0,17,4,0,70,1400,41,1,6,29
Chick-fil-A® Deluxe Sandwich,247g,500.0,22,7,0,85,1640,44,2,7,32
Spicy Chicken Sandwich,188g,460.0,19,4,0,65,1670,45,2,6,28
Spicy Deluxe Sandwich,259g,550.0,25,8,0,85,1810,47,3,7,33
Grilled Chicken Sandwich,206g,380.0,11,2,0,75,755,44,2,11,28
Chick-fil-A® Grilled Chicken Club Sandwich,237g,520.0,22,8,0,105,1115,44,2,11,37
Chick-fil-A® Nuggets,113g,250.0,11,2.5,0,85,1210,11,0,1,27
Grilled Nuggets,95g,130.0,3,0.5,0,85,440,1,0,1,25
Chick-fil-A Chick-n-Strips®,136g,310.0,14,2.5,0,75,870,16,0,2,29
Chick-fil-A® Cool Wrap,231g,660.0,45,9,0,110,1420,32,14,4,43
Chick-fil-A® Deluxe Sandwich w/ American,247g,500.0,22,7,0,85,1640,44,2,7,32
Chick-fil-A® Deluxe Sandwich w/ Colby Jack,254g,530.0,24,8,0,90,1550,44,2,7,35
Chick-fil-A® Deluxe Sandwich w/ Pepper Jack,254g,520.0,24,8,0,90,1550,44,2,7,34
Chick-fil-A® Deluxe Sandwich w/ No Cheese,233g,450.0,17,4,0,70,1410,43,2,7,30
Spicy Deluxe Sandwich w/ Pepper Jack,259g,550.0,25,8,0,85,1810,47,3,7,33
Spicy Deluxe Sandwich w/ American,252g,520.0,23,7,0,80,1910,47,3,7,31
Spicy Deluxe Sandwich w/ Colby Jack,259g,550.0,25,8,0,85,1820,47,3,7,34
Spicy Deluxe Sandwich w/ No Cheese,238g,470.0,19,4.5,0,65,1670,47,3,7,29
Grilled Chicken Club w/ Colby Jack,237g,520.0,22,8,0,105,1115,44,2,11,37
Grilled Chicken Club w/ American,230g,490.0,19,6,0,100,1205,45,2,11,35
Grilled Chicken Club w/ Pepper Jack,237g,510.0,21,7,0,105,1105,44,2,11,37
Grilled Chicken Club w/ No Cheese,216g,430.0,15,3.5,0,85,965,44,2,11,32
5 ct Chick-fil-A® Nuggets,71g,160.0,7,1.5,0,50,760,7,0,1,17
8 ct Chick-fil-A® Nuggets,113g,250.0,11,2.5,0,85,1210,11,0,1,27
12 ct Chick-fil-A® Nuggets,170g,380.0,17,3.5,0,125,1820,16,0,1,40
30 ct Chick-fil-A® Nuggets,425g,950.0,43,9,0,315,4550,41,0,4,100
30 ct Heart-Shaped Tray,425g,950.0,43,9,0,315,4550,41,0,4,100
5 ct Grilled Nuggets,59g,80.0,2,0,0,55,270,1,0,0,16
8 ct Grilled Nuggets,95g,130.0,3,0.5,0,85,440,1,0,1,25
12 ct Grilled Nuggets,142g,200.0,4.5,1,0,130,660,2,0,1,38
2 ct Chick-fil-A Chick-n-Strips®,91g,200.0,9,2,0,50,580,11,0,1,19
3 ct Chick-fil-A Chick-n-Strips®,136g,310.0,14,2.5,0,75,870,16,0,2,29
4 ct Chick-fil-A Chick-n-Strips®,181g,410.0,19,3.5,0,100,1150,22,0,2,39
Cobb Salad,413g,850.0,61,13,0,235,2220,34,5,9,42
Spicy Southwest Salad,424g,690.0,49,10,0,100,1570,29,8,8,33
Market Salad,321g,540.0,31,6,0,80,1020,41,5,26,28
Cobb Salad w/ Nuggets,413g,850.0,61,13,0,235,2220,34,5,9,42
Cobb Salad w/ Spicy Grilled Filet (Cold),390g,710.0,51,11,0,220,1770,25,6,9,36
Cobb Salad w/ Grilled Nuggets,394g,730.0,52,11,0,240,1450,24,6,9,41
Cobb Salad w/ Chick-fil-A Chick-n-Strips®,436g,910.0,63,13,0,230,1870,40,6,10,45
Cobb Salad w/ Grilled Filet (Cold),384g,700.0,51,11,0,225,1380,25,5,9,37
Cobb Salad w/ Chick-fil-A® Filet,415g,850.0,61,13,0,225,2130,36,6,10,40
Cobb Salad w/ Spicy Filet,420g,870.0,62,13,0,220,2390,40,6,10,39
Cobb Salad w/ Grilled Filet (Warm),384g,700.0,51,11,0,225,1380,25,5,9,37
Cobb Salad w/ No Chicken,300g,600.0,49,11,0,155,1010,23,5,9,16
Spicy Southwest Salad w/ Spicy Grilled Filet (Cold),424g,690.0,49,10,0,100,1570,29,8,8,33
Spicy Southwest Salad w/ Grilled Filet (Cold),424g,690.0,49,9.5,0,110,1220,29,7,8,35
Spicy Southwest Salad w/ Nuggets,452g,840.0,58,12,0,120,2060,38,7,8,41
Spicy Southwest Salad w/ Grilled Nuggets,434g,720.0,50,10,0,125,1280,29,8,8,39
